100 0.9729979999999999
1 39 25
26 59 1
26 39 55
11 1 12
10 1 3
2 1 45
14 15 44
15 39 54
26 5 55
4 3 3
2 71 37
3 1 1
12 5 1
2 89 2
1 39 29
13 34 54
22 2 34
2 3 2
18 58 44
5 5 44
2 2 4
16 1 6
26 1 5
1 6 20
13 4 54
4 3 3
10 1 34
29 95 1
74 3 10
5 2 1
74 95 45
40 1 24
17 56 55
74 4 39
17 1 45
8 1 34
5 3 1
5 3 44
26 2 4
14 2 4
16 2 2
16 3 11
4 2 34
29 56 19
3 2 1
74 5 32
74 4 6
4 6 2
24 3 2
1 1 3
45 95 1
14 5 1
7 6 20
35 1 21
9 14 55
2 42 55
74 1 7
8 1 34
2 89 5
5 3 9
26 1 34
26 1 29
74 2 16
29 41 19
45 3 2
3 1 2
13 1 54
18 14 44
45 95 54
6 1 8
7 8 44
4 6 22
4 6 24
7 42 55
74 1 7
5 1 1
26 2 11
2 18 25
3 1 45
29 4 19
4 15 44
6 1 24
29 56 16
2 18 12
29 11 19
14 3 11
11 1 6
6 3 6
6 1 37
26 31 1
26 3 1
