100 0.9502360000000001
17 2 40
50 8 95
39 24 1
39 11 1
5 20 2
29 57 1
24 17 1
71 11 1
5 43 1
6 35 2
8 43 1
1 43 1
45 22 3
11 8 1
29 8 51
14 6 2
71 57 2
71 43 4
71 11 1
22 35 51
57 1 1
9 32 5
47 32 2
13 22 1
8 57 11
14 55 49
71 2 2
18 57 38
19 57 64
71 2 1
7 2 1
3 43 1
12 30 2
50 6 95
71 28 1
24 11 1
29 57 1
10 2 5
50 17 95
11 49 1
71 1 4
57 49 1
10 54 3
29 14 1
39 24 1
39 11 1
9 4 5
39 24 2
22 57 2
9 24 2
14 22 2
24 40 1
71 11 1
40 12 95
1 57 30
57 55 49
6 35 2
10 1 1
7 43 95
22 57 1
9 21 5
17 1 13
17 1 13
21 43 3
14 43 95
10 57 53
47 18 2
10 12 95
47 11 1
29 29 1
13 13 2
2 57 3
32 22 1
39 11 2
1 57 1
54 2 53
10 54 2
3 57 1
71 2 3
10 1 4
47 7 2
57 28 2
2 57 1
2 57 2
2 57 11
71 11 3
2 57 1
5 37 2
2 57 2
29 14 1
9 19 2
29 43 46
7 35 51
53 57 38
49 43 2
7 41 1
