100 0.982333
3 37 7
60 1 15
49 60 72
4 60 1
4 54 15
31 23 15
36 22 74
40 9 4
60 47 26
29 23 26
24 9 25
25 4 6
15 9 50
1 37 6
60 3 3
2 9 1
18 60 1
12 7 41
60 3 7
4 3 2
1 48 74
40 9 7
23 3 11
18 9 35
60 16 19
12 7 33
3 1 22
6 1 74
4 37 10
32 1 74
3 48 74
56 4 26
9 9 1
12 26 74
1 8 7
19 4 67
52 3 1
7 1 1
1 1 22
25 2 10
12 30 74
40 63 1
3 3 11
9 9 1
25 3 11
1 29 2
1 1 52
60 37 11
7 1 12
60 37 45
13 21 19
11 60 72
4 54 3
9 16 19
60 3 6
8 3 4
13 4 74
22 60 1
25 3 6
2 1 22
28 1 74
40 9 7
28 37 74
4 4 26
2 9 1
7 1 22
40 9 4
20 54 21
25 1 6
1 37 7
10 4 7
22 37 19
60 37 18
20 54 4
25 1 3
4 54 7
38 60 1
8 4 74
9 3 11
4 16 19
5 1 52
60 13 7
35 10 26
4 4 2
60 2 15
25 1 5
1 29 5
3 37 6
8 1 74
16 63 25
24 26 74
9 4 7
1 37 19
52 3 3
7 8 35
4 2 2
35 37 4
35 37 3
25 8 2
25 9 9
25 8 26
