100 0.8861720000000002
82 7 10
29 37 13
18 25 4
29 2 2
18 18 1
1 57 14
18 26 43
5 57 14
12 1 3
18 32 2
6 56 6
40 18 1
5 23 4
5 4 3
24 27 1
4 17 1
8 73 13
18 26 51
5 14 3
2 8 94
29 52 5
5 23 4
56 39 1
18 39 2
13 13 1
29 2 3
13 27 1
1 57 1
82 73 2
28 57 3
17 8 83
82 17 14
8 27 1
56 2 43
1 57 1
2 65 50
13 14 1
1 73 26
5 1 8
4 57 69
18 1 5
2 3 8
5 1 3
42 8 8
7 8 98
3 1 4
1 1 90
33 2 80
9 73 15
18 2 2
26 34 1
82 1 55
24 27 2
2 24 3
2 65 66
2 57 3
1 1 3
29 1 3
49 2 98
40 8 4
1 73 72
2 9 5
5 1 90
24 11 4
3 30 5
10 65 83
2 65 4
69 27 1
33 2 18
1 57 3
13 1 4
5 57 4
40 6 43
29 5 2
42 8 6
24 27 1
8 73 2
29 20 9
40 8 10
47 57 97
16 6 43
2 57 61
2 30 5
82 25 68
82 25 15
29 2 1
12 1 90
24 19 4
2 17 1
2 65 33
2 8 4
8 10 1
29 57 71
2 65 13
6 1 6
29 20 4
2 1 5
69 27 1
26 5 1
