100 0.981672
41 2 74
28 21 74
2 20 26
48 2 74
1 42 22
9 35 33
48 3 26
33 2 2
23 25 5
32 2 1
25 2 26
1 51 3
32 22 2
7 6 74
38 22 13
48 4 74
39 35 33
32 22 16
36 7 26
3 6 74
15 25 3
41 2 74
32 1 2
52 1 22
15 2 74
48 3 18
22 34 26
7 2 26
41 7 74
32 22 2
24 20 2
32 25 5
48 35 41
24 3 44
3 2 28
17 49 30
24 18 51
3 44 38
39 2 74
3 1 28
6 5 19
29 18 2
30 43 74
32 1 10
4 30 9
41 1 74
16 51 1
14 51 3
23 25 14
1 9 21
32 49 16
29 25 17
5 5 28
1 51 3
2 21 23
32 1 10
10 51 17
38 22 1
23 25 3
3 49 5
52 4 22
3 49 23
29 7 5
3 1 28
4 10 9
18 43 74
32 1 10
15 46 19
8 16 28
32 2 9
7 15 26
32 3 1
25 11 9
3 5 46
8 1 28
48 40 26
4 2 26
44 40 9
8 2 28
32 1 10
4 21 23
9 5 19
17 49 19
32 22 1
38 22 12
22 20 26
32 49 30
36 8 26
15 26 3
32 21 2
18 21 23
38 51 17
48 1 26
24 4 28
3 1 28
1 9 1
52 30 52
3 44 8
32 3 2
4 6 74
33 2 72
17 49 25
48 2 26
9 2 74
23 11 9
14 7 26
52 27 26
