100 0.9708079999999999
4 6 43
9 19 9
45 2 43
5 53 9
1 8 43
6 25 7
1 25 2
15 3 14
1 17 22
51 23 43
12 5 31
51 7 1
23 7 55
31 2 17
4 25 1
22 6 1
28 75 27
39 18 57
20 75 10
51 2 41
12 31 34
51 41 1
12 31 3
49 14 40
18 25 1
8 14 27
49 25 43
3 25 57
5 6 57
8 2 34
19 22 14
5 7 25
50 7 41
8 18 34
29 6 1
9 25 18
4 3 14
8 25 37
12 53 1
51 20 1
31 39 6
32 53 9
49 14 17
49 61 9
39 7 18
5 1 10
5 4 6
5 1 17
19 3 57
9 18 20
6 25 19
3 8 43
19 25 2
19 25 11
4 1 43
5 14 34
1 25 19
8 14 3
34 7 25
12 26 31
1 25 13
38 61 3
51 75 1
12 8 2
9 57 20
23 74 27
11 75 20
9 31 25
30 19 57
51 66 41
7 1 27
4 25 1
31 73 17
35 15 23
7 49 6
8 25 20
5 53 6
19 25 2
4 25 26
6 6 57
49 22 34
8 1 34
12 45 2
35 15 20
1 8 25
39 7 2
9 12 9
6 2 43
8 13 12
2 4 6
8 13 22
16 7 55
31 39 7
8 14 4
1 7 41
9 25 8
51 1 1
38 61 45
11 61 48
1 17 3
