100 0.9159820000000002
6 11 47
12 27 25
13 32 4
41 28 2
23 33 95
2 13 2
2 14 14
13 32 5
8 32 4
1 13 25
30 3 3
14 32 68
5 27 96
30 1 96
18 32 1
20 32 1
1 55 2
10 32 4
4 68 1
23 33 1
13 32 11
1 27 14
11 32 1
2 32 29
2 27 96
8 68 12
30 1 7
14 68 1
44 3 1
1 35 2
44 4 1
44 1 1
7 32 2
8 68 96
11 32 1
11 24 3
5 68 4
30 3 92
6 11 47
30 3 1
23 35 96
14 16 47
36 67 2
2 11 47
12 27 24
34 60 1
13 32 8
18 68 96
11 68 1
82 32 1
11 68 1
8 33 78
34 1 1
32 13 2
8 68 6
8 35 76
21 4 3
30 1 92
9 27 96
41 28 2
1 27 6
1 2 96
20 68 1
1 32 29
2 14 11
1 13 25
44 15 2
12 13 2
41 12 3
30 1 96
6 35 2
30 1 89
15 12 1
30 1 4
34 7 1
25 32 96
5 11 1
52 32 1
30 32 1
36 66 96
18 36 1
3 32 22
5 1 1
11 2 96
6 68 1
7 61 2
30 24 3
41 28 1
20 4 3
1 32 68
5 32 28
1 55 2
6 66 96
3 32 17
1 35 2
1 68 96
20 32 1
1 27 24
