30 5 2
14 12 1
12 12 33
42 2 11
25 12 1
1 11 2
25 9 1
30 9 1
5 3 1
8 6 67
1 88 89
17 12 56
4 12 56
8 1 2
18 12 56
15 9 1
8 6 15
5 3 3
5 4 1
38 10 11
1 7 1
8 7 1
5 1 2
2 88 3
5 6 6
3 12 32
35 12 57
8 1 1
4 88 11
15 9 1
5 3 1
92 20 11
77 12 6
18 10 4
8 1 1
1 2 5
5 1 6
6 9 32
4 10 11
92 58 11
6 3 32
30 2 2
1 5 1
6 12 33
5 1 3
4 10 3
5 1 2
6 4 4
8 7 2
1 12 3
4 2 5
13 10 11
2 88 89
6 1 4
1 7 5
5 1 3
8 6 12
89 88 89
8 1 6
3 2 3
30 2 2
8 1 1
8 4 10
7 11 2
2 88 11
8 1 1
5 1 1
8 6 69
1 7 4
8 4 1
1 2 3
30 1 11
3 10 4
8 88 89
3 2 3
3 12 51
5 2 6
25 9 5
2 88 8
3 8 3
77 12 26
12 12 24
3 12 51
3 2 3
7 7 5
8 7 3
8 6 5
49 10 4
50 12 11
30 9 1
8 1 1
49 10 3
28 10 4
