100 0.9901089999999999
16 74 2
2 2 5
4 26 35
4 74 6
1 74 6
88 13 15
7 6 7
3 74 6
8 74 6
88 17 3
2 26 1
14 22 2
3 26 1
12 2 7
88 16 55
8 9 10
3 24 5
9 74 1
14 4 7
14 8 4
6 16 25
8 9 2
64 46 1
12 40 80
8 17 12
71 58 25
20 37 8
1 21 2
1 74 3
11 4 20
6 26 55
1 20 1
6 6 44
46 26 22
23 1 1
1 5 2
12 26 3
70 2 44
1 38 13
9 6 48
88 39 42
11 30 5
2 26 13
1 48 7
20 15 13
7 34 80
64 74 6
3 6 48
76 6 11
82 16 25
88 39 13
88 9 16
5 26 10
1 20 1
4 39 13
3 26 2
9 74 6
46 26 58
4 26 43
14 10 2
1 6 1
2 2 2
5 34 80
8 26 2
64 18 1
37 52 13
3 5 5
1 6 1
64 1 1
12 26 4
4 21 13
5 3 7
3 26 8
14 2 3
88 13 40
17 58 25
14 28 7
52 8 1
16 74 5
12 8 1
70 3 22
2 26 1
14 2 2
2 4 55
7 52 13
41 1 1
4 18 13
2 22 55
11 44 20
1 10 13
1 74 4
10 26 13
88 9 4
42 26 80
88 17 17
20 37 5
8 35 13
64 22 13
70 3 22
3 1 5
