100 0.824943
8 4 15
15 2 30
29 1 10
45 34 37
50 3 1
24 1 5
10 34 31
73 22 1
73 6 2
73 22 23
14 25 32
50 3 7
6 34 14
27 22 2
28 12 33
73 66 2
27 22 50
3 34 6
5 31 2
23 11 8
67 34 14
14 4 16
73 66 44
28 34 37
61 34 1
27 66 2
61 17 5
27 2 14
27 7 50
1 3 2
73 11 5
27 1 14
4 34 31
73 1 3
8 34 31
73 17 5
1 34 50
73 22 7
62 22 2
73 19 3
7 1 50
20 1 10
6 34 1
10 3 1
27 2 50
5 34 50
73 37 2
73 34 1
12 17 5
4 3 1
3 1 50
11 34 6
73 55 1
14 1 7
21 34 15
27 66 1
45 1 33
59 37 10
14 5 50
22 31 2
3 6 8
10 3 2
1 34 50
14 2 19
59 34 6
14 25 18
3 34 3
3 4 15
12 3 30
11 22 1
14 37 10
27 1 6
12 34 1
11 22 1
4 1 50
14 1 19
3 34 50
3 34 9
3 4 15
17 6 8
50 2 8
73 12 2
27 2 6
5 15 31
27 66 47
13 1 50
24 1 5
73 23 5
14 3 1
27 12 2
3 34 23
73 14 3
2 3 2
3 34 15
45 10 33
73 66 6
15 1 30
5 19 31
30 6 8
45 1 33
6 34 3
27 31 50
