100 0.977724
8 28 6
8 36 17
79 1 59
15 72 2
9 5 7
3 14 30
19 1 13
7 26 3
22 28 13
13 28 8
2 16 38
24 28 8
51 28 17
3 28 1
9 14 7
54 4 37
4 14 30
9 28 1
20 46 1
8 28 32
79 55 37
71 4 59
13 12 20
25 36 7
32 28 6
22 14 59
79 20 59
5 1 13
6 21 43
6 21 16
20 3 18
10 5 13
14 36 7
22 3 21
6 28 4
12 26 3
79 2 59
14 17 7
9 28 2
7 12 20
25 36 52
20 46 2
6 7 59
24 36 59
10 3 13
3 28 2
21 26 4
21 72 25
2 72 52
12 26 13
41 28 17
4 28 3
16 28 27
2 4 37
56 13 37
6 8 20
18 36 59
41 18 24
20 9 18
13 45 4
4 36 48
7 72 7
8 46 4
32 28 1
3 72 7
6 45 1
22 14 59
13 28 30
51 28 4
23 3 59
1 28 1
21 28 59
12 26 13
1 14 30
10 4 6
10 20 7
17 28 11
24 1 13
1 28 30
6 20 20
8 28 21
41 10 24
6 45 1
18 16 38
3 72 52
3 72 7
10 16 6
8 4 59
2 26 3
10 28 38
15 72 7
79 23 4
16 72 52
56 3 11
34 3 31
13 1 4
23 17 37
79 1 59
5 19 6
1 46 3
79 5 59
22 3 10
1 28 16
8 36 31
12 36 11
5 19 1
