100 0.6564450000000003
44 11 1
50 1 1
14 2 5
1 1 7
17 1 1
33 18 6
3 1 28
28 2 9
11 98 4
1 2 15
3 1 9
3 5 29
3 18 3
50 74 16
1 1 8
50 13 6
50 13 54
4 1 9
1 1 18
50 11 6
50 1 1
4 1 6
4 18 3
1 1 6
50 1 52
2 1 7
50 1 52
8 2 1
3 15 3
1 1 46
5 2 46
44 6 2
1 1 2
50 2 8
2 1 39
4 39 36
7 1 9
7 2 29
10 15 6
15 1 3
1 1 23
50 16 54
20 1 1
1 1 46
26 2 5
1 2 23
1 2 14
4 1 40
1 2 17
24 2 36
43 39 38
20 1 1
50 27 7
1 1 46
1 1 46
1 2 23
32 98 54
1 18 2
9 2 46
50 27 13
44 1 1
42 2 46
3 33 46
44 10 1
47 39 6
17 1 1
1 1 2
1 1 3
1 2 5
27 2 46
15 2 1
50 27 34
50 98 6
11 3 6
50 24 5
42 24 5
7 1 17
1 1 9
26 2 31
42 2 1
47 39 2
50 21 8
1 1 7
18 98 54
50 2 54
5 18 2
2 18 3
