100 0.9587239999999998
1 4 95
68 3 95
1 1 5
2 16 4
35 3 95
31 1 2
68 1 63
10 9 5
1 2 4
86 1 55
90 1 2
90 10 5
90 1 22
1 1 95
8 22 2
1 2 5
21 1 52
10 1 95
10 3 95
19 3 1
90 1 16
81 23 1
1 1 4
2 23 1
25 4 1
63 23 1
2 4 5
90 1 23
10 18 1
9 3 5
1 73 24
10 7 5
2 1 90
39 3 95
90 30 95
29 4 1
90 1 48
2 7 3
19 1 1
16 1 95
58 1 2
16 1 95
1 14 2
1 3 1
10 15 5
2 5 5
90 8 95
8 4 5
89 1 2
90 17 95
21 3 95
19 18 1
90 23 2
2 1 5
10 18 85
90 3 5
6 1 5
1 73 71
90 1 1
27 23 1
1 14 5
17 2 1
17 2 1
89 1 90
21 1 43
16 1 95
71 18 1
1 1 55
8 19 5
2 1 5
9 23 1
1 3 5
10 20 5
90 1 2
90 1 3
89 1 1
3 1 55
2 7 1
2 4 90
8 77 95
90 35 95
8 22 3
2 1 5
1 1 95
1 14 3
90 1 7
