100 0.9827709999999998
21 4 1
39 2 1
21 18 15
21 13 1
14 29 1
6 16 14
14 32 55
34 2 1
2 12 7
4 30 25
57 8 85
19 1 9
39 2 1
1 12 8
39 2 12
39 2 1
5 1 15
21 7 5
3 1 25
32 2 6
21 2 61
7 63 18
3 24 85
20 27 9
34 9 4
1 6 49
3 59 15
34 10 3
1 6 36
34 6 7
8 63 7
1 16 14
1 2 25
21 2 24
79 66 1
3 2 31
1 12 8
3 2 1
20 29 2
25 27 15
34 2 1
34 9 5
34 2 12
1 2 2
3 2 31
34 9 3
21 6 9
5 2 31
21 2 2
14 29 2
12 1 2
6 59 15
57 26 85
22 1 2
24 5 15
11 63 6
11 66 54
8 1 31
1 2 15
34 1 3
21 1 1
18 2 1
20 6 4
14 16 14
28 66 85
10 66 49
20 21 6
49 60 7
21 1 1
21 1 1
2 1 9
2 3 15
20 6 2
10 32 25
49 6 7
34 10 4
34 1 3
4 59 15
18 34 85
79 66 7
7 32 85
5 5 15
16 5 15
34 1 2
1 63 18
2 2 6
51 66 85
6 66 36
3 1 31
34 3 15
3 63 25
34 2 12
2 44 15
30 66 7
6 59 15
14 32 5
12 2 2
20 29 1
3 1 25
21 1 1
