100 0.9829879999999999
5 60 9
7 1 5
52 3 1
4 1 46
12 40 3
2 15 21
1 32 24
1 56 7
22 5 1
1 3 24
36 60 19
41 60 4
2 25 23
3 40 5
21 40 2
34 10 1
12 50 19
52 32 50
12 10 19
7 11 3
48 28 8
18 10 1
7 49 3
11 25 5
16 25 25
1 25 22
52 11 50
2 60 20
2 35 1
7 1 12
24 15 2
3 40 20
20 4 1
26 2 46
51 10 14
19 2 17
1 10 14
1 20 49
1 5 24
48 40 3
26 1 46
24 15 23
30 40 25
15 20 49
3 15 14
6 60 19
11 14 5
23 6 34
5 40 47
2 20 5
35 40 47
7 1 49
19 40 5
5 40 5
1 56 33
2 25 8
11 25 15
2 20 19
19 38 17
19 40 12
47 56 32
5 60 11
47 25 8
29 8 34
48 56 10
2 15 10
5 60 50
1 4 1
23 2 34
48 40 1
19 40 16
52 7 1
8 20 49
22 4 46
26 40 45
6 20 49
7 38 49
25 3 1
5 40 3
13 40 26
26 1 3
48 32 8
22 1 34
7 1 1
47 60 50
52 7 50
26 3 2
35 60 19
20 31 1
11 11 5
13 40 24
22 1 12
1 15 10
7 1 32
18 1 1
26 3 1
7 4 4
3 15 11
47 40 46
15 4 4
35 40 3
