100 0.891056
70 42 1
10 38 1
22 1 3
2 8 21
26 36 33
66 1 2
64 1 8
10 1 4
57 62 3
2 1 9
5 38 1
3 9 21
5 38 3
64 25 8
6 20 1
13 22 9
4 1 9
2 20 21
17 2 3
19 1 47
6 38 18
17 38 22
22 2 21
1 15 21
33 10 4
7 1 9
4 1 9
25 10 5
2 18 21
7 10 9
70 52 17
66 19 4
62 38 6
5 30 21
10 3 6
2 9 1
5 38 1
66 1 1
70 3 11
10 1 6
4 21 9
10 9 21
6 38 6
30 59 40
10 35 2
26 36 2
4 61 79
66 18 4
4 38 4
22 54 21
10 35 4
26 1 79
14 61 79
22 3 21
2 9 20
4 36 1
5 38 3
4 2 1
70 4 34
7 38 2
70 31 11
1 1 9
4 2 20
10 1 5
7 15 21
66 37 1
64 38 10
30 1 21
17 4 9
26 36 44
6 8 10
51 1 71
2 9 20
64 1 8
12 10 5
53 38 22
64 9 8
10 10 9
30 1 58
10 1 3
70 10 12
3 30 21
33 10 1
22 3 18
70 1 8
5 2 1
35 2 8
30 59 39
6 9 1
6 8 11
13 29 21
66 1 1
13 62 3
8 61 79
26 1 79
5 2 2
29 2 8
44 61 79
30 2 79
66 1 1
48 20 1
4 7 20
10 38 1
