100 0.9922359999999999
5 13 5
5 30 24
5 3 20
2 30 24
2 28 75
4 50 16
5 1 20
3 50 1
70 50 42
46 14 25
5 3 20
1 50 1
3 3 75
1 13 12
1 8 20
5 8 20
2 1 10
11 50 75
1 4 22
1 9 36
1 3 24
1 2 20
35 50 21
92 50 5
1 28 75
2 25 20
41 50 8
1 50 55
1 41 9
2 41 39
1 1 1
1 32 36
2 1 25
1 1 20
5 4 14
41 50 13
3 50 55
5 18 75
7 20 24
62 35 19
92 50 20
28 35 6
1 1 21
1 18 20
1 40 29
3 40 39
5 10 25
2 1 15
3 3 21
1 1 22
68 50 54
4 50 75
8 22 20
2 1 25
8 33 25
1 41 1
30 35 25
8 5 9
2 6 75
5 50 75
21 50 54
1 30 24
5 2 25
8 5 3
1 18 63
2 1 25
8 5 2
1 40 10
1 3 20
3 3 25
4 10 39
3 50 54
3 3 4
3 2 25
27 50 33
43 50 28
2 50 75
1 50 9
8 5 11
46 14 25
5 13 1
1 1 25
5 9 14
34 35 6
1 1 8
1 6 1
1 41 26
1 5 12
1 6 1
1 1 12
43 50 5
7 50 21
6 1 75
4 50 1
1 1 20
8 50 21
1 50 12
92 1 25
