100 0.998926
12 3 3
55 11 61
3 13 8
25 9 10
16 3 35
5 13 8
20 11 61
2 13 3
75 11 11
75 36 8
5 87 15
52 11 10
44 13 56
10 87 7
4 1 4
75 27 23
7 61 7
75 13 61
6 2 39
6 1 25
20 4 8
4 6 21
20 87 15
12 3 6
1 13 2
52 1 19
4 1 3
1 87 7
75 13 3
16 1 35
21 13 21
63 1 2
2 1 28
63 1 6
75 27 5
7 87 7
75 36 9
63 1 5
50 86 4
2 13 8
50 87 1
75 15 9
75 4 2
75 13 2
7 26 7
8 2 35
50 1 1
50 2 1
25 87 24
25 4 1
75 27 18
8 13 26
4 5 21
21 1 37
63 2 2
50 1 2
9 32 11
15 12 12
66 32 11
6 8 39
4 13 35
50 85 1
4 13 61
7 2 35
75 1 9
75 51 21
3 13 26
25 87 61
15 1 35
1 6 35
2 5 27
63 1 6
1 1 7
2 13 8
10 13 26
75 40 2
7 7 2
75 25 9
52 11 29
31 13 56
52 2 20
75 36 4
2 1 9
5 4 8
75 27 1
50 87 1
15 6 35
6 1 14
3 1 7
1 13 35
7 6 2
15 12 27
7 13 6
3 13 8
75 36 61
4 2 14
25 4 1
2 7 27
50 1 1
52 1 11
1 13 1
52 1 8
23 1 2
75 27 14
