100 0.9605339999999999
47 3 38
8 61 55
1 1 1
8 36 38
2 4 7
20 2 62
1 30 62
53 6 38
12 1 1
23 2 62
28 61 16
23 36 38
12 11 62
53 4 18
1 9 18
3 6 19
6 13 62
12 20 1
8 61 61
11 61 11
8 61 7
10 41 38
14 14 53
2 4 3
1 9 62
16 36 38
20 18 2
2 11 54
12 20 37
14 10 60
19 61 12
1 9 2
53 2 27
41 5 9
10 53 17
5 15 62
6 2 29
3 2 62
13 15 62
2 9 62
1 4 54
14 14 7
53 15 11
13 61 45
1 1 11
17 61 4
20 12 2
6 2 33
11 30 62
17 24 2
34 17 62
11 61 1
18 61 62
8 61 1
1 9 18
1 7 54
2 6 43
1 9 2
53 13 27
7 30 6
28 61 9
17 61 9
11 61 1
53 1 18
30 1 62
30 6 62
12 1 3
51 10 17
7 30 36
20 14 56
53 16 10
2 30 62
8 11 62
1 1 8
47 1 62
1 1 20
9 16 56
3 11 8
7 30 20
2 41 38
17 7 62
20 12 1
41 61 38
12 1 6
47 31 62
34 7 62
41 5 1
1 6 43
3 53 17
53 5 8
40 15 62
19 61 26
53 4 38
10 4 10
20 30 3
13 8 17
11 16 56
2 24 2
53 16 52
16 15 62
