100 0.996
16 17 2
94 48 47
2 2 9
55 48 1
6 2 6
2 1 20
1 1 3
94 51 1
3 8 24
86 52 5
1 36 61
14 9 76
59 52 51
21 1 22
1 35 25
1 25 16
94 48 1
3 4 24
94 36 7
94 48 18
6 48 76
6 23 20
4 1 24
1 35 25
6 1 76
5 37 3
6 22 3
6 3 76
8 52 5
2 1 4
1 36 3
1 1 76
5 13 25
4 2 24
21 23 2
61 1 19
1 23 8
1 15 24
1 15 24
2 2 9
1 23 24
35 27 76
1 1 3
94 34 2
3 33 3
5 23 24
21 13 24
6 23 4
59 52 25
5 11 3
21 21 22
1 11 25
8 9 76
5 37 2
1 23 5
35 16 76
4 1 24
1 15 24
94 48 1
3 33 3
94 12 7
5 11 2
1 11 51
16 36 24
1 48 10
1 2 1
2 35 25
1 25 8
1 2 15
1 2 4
6 24 7
21 12 24
1 12 13
4 48 27
3 2 18
1 2 3
1 2 1
3 33 8
39 48 1
13 9 76
21 1 22
5 48 19
94 51 2
1 2 15
1 23 24
2 4 24
78 17 1
3 1 24
56 48 24
3 33 14
2 9 10
16 12 24
33 1 19
87 51 14
7 51 14
4 9 10
1 48 17
2 1 24
94 29 1
