100 0.988674
1 25 66
58 98 33
5 64 1
9 2 67
73 1 33
1 25 1
6 1 59
5 1 5
12 1 43
3 1 3
4 1 7
27 26 8
54 2 67
5 88 67
3 2 67
27 1 33
1 1 9
12 1 7
22 98 7
10 17 33
27 1 33
4 2 62
32 25 13
3 1 5
1 20 1
7 1 8
6 1 8
27 64 23
6 2 67
10 1 67
5 37 9
1 1 67
5 37 3
5 20 41
5 4 41
73 1 31
22 98 60
10 49 25
2 15 33
24 25 67
1 1 67
7 73 67
8 1 15
5 12 25
5 37 15
5 10 67
1 1 8
27 3 33
8 1 44
1 44 2
4 1 1
12 25 67
27 1 33
27 1 8
10 49 8
1 73 67
3 2 67
1 44 2
5 1 3
5 49 25
11 15 33
11 8 33
10 6 33
9 1 9
10 11 33
5 37 6
1 1 67
27 25 41
11 64 1
2 1 9
65 73 67
16 23 33
1 2 67
1 20 2
7 15 33
27 3 33
32 25 13
27 1 33
9 64 1
5 61 8
1 1 67
4 2 5
5 1 41
25 64 1
4 25 67
