100 0.9407740000000001
1 3 48
15 1 6
2 1 19
19 1 41
3 2 8
51 2 7
36 2 1
7 9 37
54 9 13
4 14 28
1 3 7
36 63 1
54 30 10
15 1 39
17 24 1
6 1 5
1 19 18
36 47 1
39 1 39
3 2 5
16 1 15
13 37 9
7 1 18
1 47 28
45 63 18
17 13 4
26 32 37
16 1 3
17 37 1
9 4 14
17 24 2
14 1 1
3 30 28
18 1 37
14 40 37
18 5 28
40 40 37
54 11 22
6 1 58
1 1 63
17 37 12
1 37 19
18 16 28
17 24 5
1 3 3
51 2 6
3 37 19
4 37 9
10 2 2
28 63 28
54 63 35
8 24 13
1 37 19
10 21 37
9 20 14
10 2 8
39 1 14
3 33 28
39 1 1
1 59 63
1 16 28
54 5 63
1 1 3
46 37 2
1 1 3
46 37 38
10 40 37
36 2 37
39 1 9
18 4 37
34 37 15
1 9 18
1 1 16
46 37 5
8 24 1
18 42 28
18 1 63
54 11 31
54 2 53
36 3 37
54 11 40
11 1 13
8 1 18
4 1 3
46 37 18
11 1 50
14 1 2
17 13 18
1 3 1
36 63 35
4 37 18
1 9 18
54 5 53
54 1 53
10 2 27
28 32 37
45 63 45
