100 0.8735640000000001
1 22 3
55 65 8
26 35 6
2 20 1
9 29 10
46 8 29
32 23 29
11 22 5
7 6 11
6 22 3
6 9 22
1 8 3
68 15 8
68 1 7
7 2 13
3 2 5
25 43 19
68 5 8
5 1 68
27 27 3
43 43 19
30 2 9
1 2 5
7 35 7
26 8 3
22 27 18
31 12 9
7 22 2
27 29 60
7 6 11
32 65 27
32 36 1
5 18 5
4 35 3
10 35 2
68 30 8
10 35 4
68 6 1
1 9 22
68 23 6
7 4 6
11 22 24
68 22 31
7 3 22
61 8 20
1 15 1
68 58 14
5 8 68
5 26 71
18 43 52
19 35 29
31 4 6
66 13 2
22 27 11
1 35 1
1 15 2
61 12 13
29 35 26
61 1 9
5 4 5
12 22 16
46 19 22
61 7 9
1 4 6
23 29 10
1 35 1
1 35 7
32 65 33
68 6 7
2 13 8
7 4 6
5 9 3
68 65 7
66 13 6
39 35 19
27 35 7
1 35 2
27 26 3
7 8 1
32 65 1
3 2 5
32 31 6
68 35 1
32 32 29
57 22 24
1 15 1
32 10 29
68 1 1
13 3 8
2 20 1
13 35 29
32 21 9
13 62 8
68 23 16
30 8 9
4 35 7
27 9 3
23 13 5
46 19 7
68 7 14
56 22 16
