100 0.9251980000000001
9 3 3
47 32 3
11 2 40
15 23 70
26 5 7
42 21 2
4 61 30
7 6 9
47 2 9
3 27 16
6 1 30
15 17 70
11 31 38
42 21 58
7 6 30
4 6 30
47 2 21
37 27 6
40 13 30
11 19 30
3 67 14
47 1 38
11 3 38
10 17 70
25 9 24
19 41 70
9 33 2
26 5 23
8 33 1
25 9 41
1 2 27
37 27 1
47 2 5
42 1 7
2 6 30
9 30 32
37 67 3
25 9 5
18 31 32
26 10 70
11 6 28
47 16 5
1 8 6
1 42 18
32 8 6
11 23 40
47 13 5
2 42 8
1 6 30
11 61 28
1 33 1
11 5 38
29 9 32
28 67 14
11 8 38
7 6 21
47 2 19
6 67 14
47 2 11
47 1 38
9 29 3
11 5 6
9 32 32
9 1 4
1 42 8
4 8 6
26 9 70
42 20 7
26 28 30
53 28 25
47 31 38
26 1 70
42 21 3
8 42 70
11 20 38
37 23 39
53 6 30
3 3 1
6 61 30
1 2 27
11 67 42
6 3 1
45 2 27
53 7 30
53 28 5
13 13 30
2 40 7
3 40 7
9 33 23
3 27 28
42 46 70
6 41 70
32 40 7
11 5 26
29 22 32
3 15 44
1 33 70
2 42 18
2 62 32
47 1 3
18 33 30
53 9 30
6 3 30
