100 0.997186
39 1 25
3 5 42
2 12 1
3 7 51
4 1 22
86 1 1
7 74 15
3 11 42
6 2 85
1 68 51
2 4 4
38 2 85
2 4 95
1 3 66
68 2 7
1 3 99
4 1 99
1 1 1
1 6 17
2 8 17
4 13 2
7 27 1
2 12 2
3 7 19
86 1 1
16 11 23
3 4 54
2 1 25
1 6 10
93 32 98
68 9 99
93 10 1
1 5 17
3 1 54
1 5 17
1 58 11
5 12 1
2 13 13
3 5 14
1 61 1
3 51 51
1 14 22
4 1 33
1 5 99
93 76 1
1 3 99
3 2 47
93 12 1
1 1 1
2 58 10
7 74 22
2 4 10
1 1 66
9 11 99
1 14 9
3 5 47
1 6 24
79 1 74
93 48 99
1 14 38
93 8 99
1 2 66
2 14 16
24 2 85
3 74 51
3 5 6
3 5 25
4 6 33
5 1 11
1 1 66
2 1 5
93 32 1
40 1 25
1 6 99
3 16 9
4 13 20
5 2 1
5 1 99
16 11 76
68 2 3
2 1 99
2 12 7
5 9 11
1 1 1
68 2 4
1 1 1
4 58 10
5 14 77
5 6 11
5 1 99
2 14 6
