100 0.9824679999999999
2 12 27
35 1 61
2 69 24
98 3 11
2 69 8
21 24 30
1 6 10
1 8 27
74 1 5
1 4 12
87 1 13
67 12 27
2 18 26
98 2 11
20 2 2
32 31 3
11 18 26
3 60 7
22 2 1
1 69 36
79 5 32
12 69 8
1 31 11
98 69 66
58 7 3
46 24 66
1 2 11
25 31 9
25 29 1
15 31 3
9 10 3
1 8 11
20 31 3
15 2 4
51 2 1
1 10 11
2 63 10
6 10 3
3 24 66
10 2 4
25 31 15
13 51 26
2 6 66
6 69 7
69 1 27
25 29 4
14 29 1
2 29 1
51 7 27
24 1 22
14 11 27
3 69 8
37 69 34
2 69 30
11 1 3
25 29 1
7 4 13
4 10 3
8 69 26
1 5 10
13 24 66
58 14 3
80 4 13
2 69 34
24 1 5
2 31 7
10 10 3
39 1 61
1 69 36
98 5 10
4 69 8
19 5 32
5 2 1
15 24 66
1 7 2
11 1 10
4 31 3
3 9 7
9 69 15
21 24 36
22 7 27
17 31 3
9 69 8
98 1 66
29 10 3
4 11 27
9 69 2
2 25 66
11 3 13
57 29 1
9 69 2
29 69 34
1 1 10
11 1 13
2 31 16
25 31 4
1 4 15
24 1 39
