100 0.9938969999999999
3 15 16
4 63 3
1 39 74
3 35 19
3 1 5
3 1 5
2 5 56
48 63 8
1 24 26
1 39 76
95 37 5
1 16 10
7 3 2
1 22 14
4 63 5
10 1 5
5 3 6
2 24 26
95 37 1
3 4 30
3 9 16
95 63 35
7 12 2
6 37 2
49 5 15
7 16 2
4 1 6
15 4 34
2 2 5
3 35 11
10 1 5
4 2 4
5 37 4
12 5 4
82 17 90
13 4 19
2 7 42
43 47 8
13 28 70
10 2 2
13 28 20
29 1 29
3 1 5
2 39 60
5 37 9
66 5 64
1 1 10
95 63 1
1 2 30
12 5 30
45 24 2
29 1 29
4 1 30
66 2 11
1 3 12
5 36 6
17 5 15
1 2 1
5 37 1
76 13 1
95 37 2
2 17 42
29 2 34
5 37 90
1 8 10
37 24 2
13 2 70
1 2 4
5 1 6
6 13 1
21 1 34
79 63 55
82 15 90
4 2 30
1 17 14
27 5 8
8 1 28
1 39 60
5 21 48
4 3 12
1 1 30
8 1 6
66 3 11
16 63 55
7 6 2
1 39 16
10 2 3
95 26 1
27 5 14
43 16 8
4 1 6
3 1 5
1 1 10
13 2 70
