100 0.9976419999999999
6 52 6
2 52 4
2 52 1
67 48 39
1 21 6
85 48 4
10 24 11
90 43 43
2 52 1
6 52 60
61 32 7
13 23 5
90 46 84
71 6 3
4 30 5
90 48 6
1 31 3
5 45 24
6 52 7
90 21 2
3 2 15
2 19 6
1 2 14
90 48 3
1 2 5
1 22 24
6 23 2
1 52 3
6 12 5
2 6 3
8 32 6
6 4 10
1 3 1
6 19 6
1 3 1
23 48 39
13 23 1
5 48 5
90 1 84
1 47 2
1 1 59
1 1 59
71 44 3
90 2 43
29 32 7
7 1 15
2 52 2
13 29 6
10 1 79
3 2 1
10 1 15
2 52 1
10 40 1
1 31 3
4 12 5
1 6 1
1 23 24
6 28 1
90 5 84
1 52 1
90 3 43
90 48 1
1 1 2
2 2 64
4 35 24
6 23 8
90 27 2
85 48 2
10 8 1
1 2 2
6 1 10
4 52 60
4 28 11
71 8 3
1 6 1
5 48 1
6 30 5
10 45 70
10 52 14
90 6 10
1 2 1
4 10 24
90 32 3
90 14 10
8 6 5
71 46 3
2 52 5
1 5 1
