100 0.8767709999999996
10 2 1
69 18 22
4 14 70
21 3 2
2 14 61
48 1 35
3 76 30
3 38 30
69 1 30
5 14 21
61 1 35
3 38 30
3 10 18
61 2 70
1 38 18
3 3 20
31 1 39
5 1 1
5 1 46
1 56 18
31 20 30
69 54 22
4 56 43
31 19 2
23 5 14
21 1 2
21 12 3
4 2 10
27 76 70
69 72 11
21 14 1
69 16 5
21 4 1
12 6 12
1 1 30
1 6 11
1 7 20
28 20 1
4 18 4
61 17 70
2 14 40
1 2 30
4 56 9
12 1 1
33 76 3
21 4 1
1 6 1
31 1 30
5 1 41
31 3 30
23 5 4
25 1 31
9 1 1
3 20 2
1 1 11
3 14 40
23 1 18
12 6 12
3 8 16
2 35 18
31 20 1
5 1 20
1 2 14
3 8 1
31 3 62
13 1 35
25 5 3
1 6 18
25 76 2
28 20 1
69 4 70
36 76 3
1 6 13
31 3 1
25 5 28
69 72 59
2 1 20
1 13 30
31 2 7
10 2 2
2 2 20
1 18 4
1 6 12
1 10 27
31 1 31
2 3 18
25 76 1
1 3 31
5 3 41
69 4 15
69 23 30
2 76 26
