100 0.714629
8 16 88
6 1 1
3 92 1
6 8 88
13 6 3
16 92 7
40 8 2
3 92 1
4 48 14
64 8 26
8 31 74
10 8 5
5 92 3
3 2 22
1 76 7
30 8 2
6 1 1
6 92 13
6 4 74
73 1 4
1 19 88
2 6 88
60 1 1
1 5 24
73 8 9
4 4 12
21 4 5
45 8 5
1 3 57
9 1 1
9 8 88
6 4 22
10 92 7
32 1 1
1 19 4
28 8 1
64 8 47
27 92 3
2 6 3
6 28 21
73 4 6
6 28 67
12 8 2
8 17 74
1 92 3
2 7 1
23 8 12
7 39 52
5 92 52
18 8 6
27 92 2
2 3 88
1 1 1
11 8 88
7 6 3
1 2 57
6 90 1
1 92 29
1 41 83
64 8 1
13 53 35
4 3 10
6 4 51
1 10 5
4 48 14
2 1 1
22 2 3
6 4 1
2 92 14
6 39 52
4 1 12
13 53 5
1 51 88
73 3 6
73 1 20
1 1 1
73 54 20
10 92 7
13 53 12
7 1 1
3 8 52
73 35 88
1 73 32
4 92 14
1 2 88
73 2 20
1 16 7
4 3 2
18 92 4
3 4 22
33 1 1
3 2 22
1 19 28
73 92 12
21 4 5
1 31 5
3 1 1
10 92 25
1 1 88
