100 0.978504
3 41 5
20 22 10
84 7 7
10 28 80
5 12 80
18 10 1
17 6 10
46 18 8
56 7 8
1 13 4
7 1 44
84 62 15
1 3 2
84 1 1
37 5 1
17 38 4
16 7 46
5 8 4
6 38 50
6 6 44
6 18 1
63 1 90
30 18 1
16 33 5
8 4 3
46 1 2
10 2 46
4 7 44
84 62 39
8 4 10
11 38 50
31 12 80
5 3 2
4 41 5
5 7 44
9 5 1
76 46 1
16 33 1
84 1 3
4 38 46
12 18 1
5 9 4
9 1 10
46 1 1
13 2 10
5 5 6
60 1 10
18 7 3
2 41 5
16 2 8
63 28 10
56 7 2
84 1 3
20 16 10
5 2 4
46 15 10
1 5 9
7 41 5
16 18 2
46 2 2
17 12 80
18 8 1
18 13 10
6 2 82
12 18 1
1 4 10
46 5 4
4 3 2
21 16 35
16 62 90
11 2 10
2 16 2
53 16 80
46 1 1
46 3 2
8 46 1
60 1 10
16 32 5
84 1 2
1 6 44
17 38 1
2 5 1
84 62 36
4 23 4
10 2 36
46 4 2
84 46 9
4 33 4
1 5 9
4 10 4
28 1 10
11 6 10
63 9 90
2 33 4
46 3 1
16 21 5
16 29 90
16 30 5
1 20 4
76 4 3
3 16 2
