100 0.8855869999999999
20 53 12
18 84 1
11 1 56
2 76 7
18 1 5
42 84 1
29 2 16
18 1 5
4 84 11
10 16 65
64 22 1
14 1 58
32 1 9
18 14 23
64 13 11
2 1 1
60 1 20
64 7 1
60 84 10
18 1 4
64 62 1
18 1 28
4 7 34
8 16 65
4 7 31
64 7 2
38 8 8
18 1 50
20 53 2
1 2 24
64 7 49
29 2 49
2 5 18
5 2 4
64 84 1
42 1 45
2 76 3
24 31 14
1 76 1
13 84 65
64 1 1
36 84 7
18 6 20
60 3 4
1 4 20
3 2 65
32 1 56
4 1 58
60 1 45
18 1 17
32 6 20
32 1 9
18 1 3
60 3 41
1 2 20
8 1 56
23 84 42
35 53 14
3 1 35
18 1 1
2 76 1
28 1 31
62 76 12
62 1 3
60 2 32
60 2 13
30 84 25
18 1 2
1 76 1
7 84 26
64 7 1
3 3 24
3 5 24
2 1 2
34 84 28
30 84 29
18 14 42
8 3 35
1 3 24
9 6 20
8 13 24
9 3 31
15 3 10
9 53 14
40 31 14
64 7 3
36 84 28
18 1 10
64 7 13
36 16 35
26 8 8
23 84 23
28 2 31
3 2 35
2 5 6
1 3 35
9 3 4
13 1 56
