100 0.9812460000000001
3 5 1
26 24 7
3 5 2
19 2 1
14 1 7
30 56 16
1 8 1
1 8 10
3 19 3
30 20 26
15 3 5
4 3 5
70 65 12
5 3 3
22 12 3
13 24 7
6 1 3
19 2 3
15 24 5
28 8 4
23 1 1
30 24 8
30 24 22
3 5 1
1 13 1
31 5 1
5 18 84
15 7 1
1 20 42
70 24 84
30 20 16
6 21 84
22 12 4
1 13 7
13 1 13
3 1 16
28 8 12
5 24 5
70 11 8
70 4 62
22 6 4
25 1 2
70 76 3
15 17 1
19 2 1
10 21 84
65 24 21
51 5 5
12 24 8
22 6 4
10 1 3
2 11 8
26 1 3
70 11 9
13 24 1
70 4 22
31 5 2
25 1 1
15 24 2
65 56 63
8 1 1
1 12 11
1 8 5
9 21 84
1 8 6
70 8 8
1 8 1
30 24 8
29 20 42
70 14 84
58 32 21
2 1 3
13 6 1
22 6 9
5 3 84
7 1 3
1 13 8
1 3 5
5 56 84
7 12 16
1 12 5
5 2 3
3 5 2
70 11 3
4 24 7
33 1 3
14 1 1
30 29 61
70 76 1
30 24 7
23 1 2
30 20 16
30 24 24
6 1 1
53 8 8
14 1 7
13 1 3
30 6 61
30 3 16
30 35 23
7 32 21
2 19 3
