100 0.9891750000000001
23 2 11
7 11 56
37 1 56
54 1 8
24 84 8
16 75 10
54 8 8
16 91 1
2 4 25
6 35 10
8 1 38
46 9 51
46 14 44
23 1 11
6 91 1
23 91 31
18 2 2
2 1 19
6 78 25
37 1 7
14 3 11
54 9 19
48 68 1
4 9 15
2 4 1
15 8 22
54 6 1
48 78 25
15 39 8
25 85 2
4 9 18
13 16 10
6 63 1
3 9 56
15 28 31
2 5 25
8 5 9
6 9 56
37 1 9
16 91 1
37 1 1
2 1 16
46 9 16
9 63 1
16 53 1
10 91 1
29 85 1
37 5 56
37 2 1
46 73 44
16 91 1
9 26 11
16 56 10
46 2 44
54 1 1
7 18 11
54 2 17
35 1 35
5 28 56
24 91 48
52 13 25
2 4 20
36 39 4
6 91 1
54 6 2
14 9 5
54 7 14
54 7 2
36 52 4
2 4 1
37 1 7
2 9 5
37 2 28
16 38 1
16 91 6
8 5 29
20 63 56
8 3 38
2 4 1
15 24 30
18 89 9
36 91 16
2 18 11
46 9 28
24 7 8
3 16 10
30 7 5
29 85 1
15 31 22
2 4 2
10 28 56
2 63 56
18 2 18
3 35 10
7 17 56
54 91 21
37 1 9
10 63 11
7 35 10
30 2 5
48 23 1
