100 0.9835480000000001
29 7 17
2 16 83
15 10 1
29 59 6
2 2 2
29 41 15
8 4 6
16 7 17
4 10 1
10 13 1
5 2 3
1 2 14
1 59 4
61 40 83
29 41 5
4 2 7
3 6 1
2 2 3
1 41 51
19 59 47
13 4 17
41 2 3
1 2 3
71 26 83
28 41 51
2 13 2
29 41 1
13 7 7
12 13 4
12 2 1
71 7 83
2 2 1
11 2 7
3 23 10
71 31 2
2 6 7
2 1 7
29 41 2
16 13 11
41 2 4
15 10 7
13 2 17
5 3 83
3 45 83
48 19 83
71 8 18
71 31 14
2 59 53
25 39 7
29 9 3
29 59 1
3 3 10
2 23 83
13 7 17
5 3 83
8 37 6
13 19 83
3 19 10
1 10 1
10 14 83
2 47 10
29 9 14
25 1 7
16 10 4
29 41 3
9 11 3
71 28 17
4 11 1
71 31 1
71 8 65
19 41 10
1 2 10
2 12 10
1 59 6
1 2 4
23 59 10
2 11 4
10 13 1
2 20 83
13 11 13
29 2 17
29 1 17
1 2 10
3 13 6
19 59 36
2 45 83
3 4 1
17 29 7
5 2 4
25 1 7
29 29 7
1 59 83
2 59 30
15 1 7
1 2 14
52 41 10
9 10 1
21 41 6
4 10 1
5 59 83
3 12 10
1 13 6
