100 0.7565550000000001
35 16 7
2 33 33
1 4 32
7 41 51
55 2 42
1 10 32
4 21 28
4 1 44
1 10 33
54 19 44
2 15 12
35 16 7
27 24 56
2 10 33
4 3 56
1 6 32
11 9 11
4 1 44
1 33 2
3 6 44
4 39 27
24 41 51
3 16 44
2 6 20
13 11 23
2 41 21
4 5 1
1 3 20
3 25 30
1 12 8
34 22 56
2 22 20
1 59 1
1 59 1
12 59 33
4 59 33
15 26 30
42 59 44
23 6 44
23 13 44
2 41 29
1 4 20
2 10 14
4 5 4
3 39 13
41 10 44
8 11 42
3 17 44
8 4 42
23 3 44
1 19 44
14 10 44
3 25 14
2 41 8
65 2 56
11 9 30
13 48 23
14 59 23
1 45 8
35 59 43
1 23 9
4 2 27
8 15 14
35 26 16
15 26 3
35 59 1
3 10 33
1 15 41
1 15 15
4 5 27
31 16 5
2 10 6
4 21 28
1 2 8
20 59 56
55 10 44
1 23 35
1 26 2
1 28 20
1 27 20
3 41 44
35 32 21
34 2 56
55 2 2
13 33 33
31 12 5
1 1 20
2 1 20
1 10 32
1 9 44
31 13 5
2 15 12
1 10 32
8 59 23
1 59 1
35 6 16
