100 0.9655330000000001
16 28 4
46 4 41
1 9 21
82 9 41
2 30 5
2 54 3
2 15 9
4 1 41
73 10 1
1 28 4
18 39 5
1 72 3
1 24 36
43 5 59
48 19 1
96 5 8
96 9 24
1 1 38
73 54 4
31 28 55
5 6 17
96 9 17
63 5 41
18 15 5
4 26 23
22 7 59
96 11 8
1 8 5
2 20 9
2 2 59
14 9 41
33 6 24
4 2 36
28 6 17
1 2 14
1 43 2
1 8 9
91 3 27
1 1 41
1 14 14
1 72 3
2 15 9
1 13 41
14 28 4
1 47 12
1 38 6
2 72 14
4 72 59
2 72 15
1 17 1
96 54 14
1 16 7
1 72 3
96 5 59
1 21 41
10 44 1
1 1 41
96 72 14
43 23 59
1 54 5
1 7 2
1 17 4
2 2 59
2 54 1
2 24 5
1 17 2
3 24 36
96 2 59
2 54 1
1 16 1
48 25 1
87 65 59
1 3 10
1 38 6
1 22 2
1 16 4
96 1 27
1 1 14
96 14 27
2 22 9
22 6 59
1 1 3
50 4 41
22 15 59
5 3 27
15 44 1
1 4 2
1 5 12
9 65 59
1 1 32
1 51 21
1 51 20
1 1 9
3 13 41
1 8 7
