100 0.7951959999999999
74 2 7
26 50 21
74 4 14
13 10 7
10 1 79
6 10 8
74 1 71
11 2 21
39 2 1
18 4 1
35 2 2
13 10 14
1 1 79
3 9 1
73 20 6
21 46 8
15 3 32
22 19 3
8 1 62
17 10 79
5 3 39
1 2 21
1 14 25
20 9 7
35 4 1
22 19 5
17 6 1
10 2 8
11 2 21
7 69 3
74 69 11
26 17 66
40 6 20
13 10 21
17 1 17
5 4 40
17 3 47
13 21 21
17 9 1
74 2 36
2 2 79
9 10 79
8 2 35
22 6 1
5 1 39
22 9 8
2 15 8
6 2 35
74 1 36
25 3 79
74 1 32
74 11 5
35 4 1
27 4 79
9 1 62
1 3 32
74 4 6
74 51 25
50 21 5
73 3 79
74 1 13
11 3 21
31 4 1
1 11 79
50 18 16
26 40 16
73 20 63
21 4 1
6 6 8
8 15 1
5 46 8
8 15 7
1 3 32
59 7 7
1 7 7
50 69 10
26 17 13
74 1 4
10 2 8
45 2 35
15 1 79
74 6 48
17 69 3
24 69 7
26 73 79
50 3 16
42 56 8
1 1 79
6 30 8
11 14 21
14 7 7
73 20 10
74 1 8
34 6 20
43 4 1
26 40 5
74 11 30
1 14 54
70 2 79
74 6 2
