100 0.8791680000000001
48 1 11
16 48 15
8 28 2
5 2 40
1 50 40
48 47 11
24 15 31
7 28 19
3 18 13
8 15 55
7 2 22
12 11 22
6 9 24
15 17 22
13 6 2
7 26 20
30 10 22
54 72 26
1 72 34
1 28 2
24 3 4
36 17 23
7 8 19
26 24 35
3 24 40
4 8 1
20 28 1
3 5 2
1 72 34
3 9 1
40 28 2
26 24 5
5 48 40
58 2 55
6 10 55
4 28 1
24 12 18
24 3 14
6 22 16
24 3 34
40 28 3
1 18 13
3 72 34
4 48 9
38 28 2
3 63 7
42 11 24
30 7 22
16 15 55
3 9 4
36 17 1
3 33 60
18 28 9
13 4 1
7 20 19
7 26 2
3 8 2
42 39 60
4 48 2
58 11 55
12 24 40
3 16 2
6 13 24
7 25 29
13 22 3
20 28 1
4 15 55
2 51 26
11 24 40
13 17 1
2 28 2
14 33 60
6 5 55
42 20 12
45 28 18
16 48 14
1 28 1
1 33 47
3 72 27
35 28 58
2 33 60
14 19 40
6 17 24
13 33 60
13 6 1
12 11 22
3 4 2
3 4 2
13 28 34
29 48 29
18 28 5
13 7 1
21 9 22
24 28 9
28 19 40
24 69 34
7 23 29
24 15 6
21 2 22
10 33 13
9 33 47
42 28 5
42 20 28
4 3 26
1 28 1
2 51 26
