100 0.9603060000000001
1 5 2
50 65 19
3 9 2
21 31 3
22 4 5
7 8 20
2 6 15
22 65 5
3 18 3
3 31 1
19 6 1
16 65 36
2 12 1
25 35 14
26 2 1
1 19 2
8 16 4
45 65 66
16 65 23
1 16 15
14 31 2
1 2 8
2 6 15
36 65 84
30 31 1
33 24 2
17 65 12
5 31 1
4 31 1
39 65 1
26 31 1
1 31 3
7 19 1
3 65 84
28 31 1
7 2 1
39 35 85
1 35 15
7 2 1
22 32 7
61 4 85
1 2 1
2 3 2
9 31 7
1 31 2
21 31 1
22 33 1
1 12 2
22 23 2
28 65 2
3 44 8
22 29 5
39 65 3
1 12 1
33 19 1
1 19 4
58 44 13
35 12 4
33 19 4
4 13 9
2 7 15
12 2 9
1 16 15
1 22 2
6 31 1
3 18 6
1 18 9
7 17 1
1 12 1
5 16 4
11 23 2
33 18 1
59 35 15
3 31 1
13 2 9
13 19 6
1 14 2
1 9 2
61 31 57
13 16 2
4 31 3
61 23 20
33 4 1
25 35 1
1 12 2
18 31 1
18 31 2
3 31 1
33 18 1
16 65 7
3 44 5
26 31 1
