100 0.9979690000000001
56 62 2
28 56 4
2 38 2
38 31 88
1 1 12
23 62 76
23 1 1
1 20 1
7 1 5
34 6 1
1 15 12
15 6 2
38 7 88
2 21 12
31 24 4
28 62 8
2 7 11
1 3 2
1 2 12
21 2 1
20 13 1
34 20 58
1 1 12
10 1 5
5 3 1
1 1 12
17 1 5
2 12 12
11 1 3
8 38 2
1 3 1
2 7 11
42 9 10
1 38 1
34 7 10
66 38 40
42 20 10
10 21 5
8 1 1
66 2 5
10 23 6
5 3 1
3 23 6
56 62 2
56 62 1
21 13 7
1 17 1
20 25 2
1 12 12
23 3 1
11 2 3
34 9 7
34 1 5
24 29 10
34 30 1
3 23 6
26 38 2
10 21 7
34 62 30
1 17 12
62 6 48
6 30 7
22 15 10
62 32 48
19 6 2
1 62 12
1 17 1
3 24 4
34 10 88
13 2 3
5 30 7
12 23 6
9 38 2
34 42 58
21 17 7
1 2 12
2 5 12
15 24 88
5 13 1
23 2 3
5 17 12
5 62 76
9 5 1
5 24 88
2 3 11
34 28 88
2 30 7
56 62 7
32 7 10
15 13 1
53 2 3
1 1 1
25 6 1
34 23 12
1 18 1
4 3 1
4 38 48
23 1 3
66 2 2
18 24 88
16 23 6
9 62 12
