100 0.9938580000000001
30 80 67
87 6 33
3 3 15
13 21 1
1 3 1
38 5 21
2 22 33
1 6 18
9 3 2
4 5 2
1 6 26
39 5 33
13 21 2
13 3 2
10 1 41
7 3 1
1 7 9
40 34 33
3 1 11
13 9 2
22 14 55
2 1 2
13 10 4
9 1 61
1 6 8
13 5 9
2 9 33
1 6 41
1 22 33
87 4 12
87 3 55
87 4 6
87 1 12
13 3 1
3 2 11
87 3 6
9 2 23
9 3 6
13 1 10
2 3 26
1 6 41
13 1 2
5 91 56
9 3 67
40 18 33
10 80 67
13 68 1
13 15 2
29 80 67
1 5 1
9 6 2
13 5 2
1 1 2
87 2 12
2 6 26
78 1 61
13 20 3
1 1 25
1 3 15
10 1 2
13 5 1
13 14 22
1 2 11
13 68 1
77 35 33
1 3 1
1 6 1
13 2 2
13 2 1
87 7 12
13 1 3
13 14 24
9 1 23
12 5 1
6 26 33
77 2 33
13 91 11
6 14 2
5 4 33
87 2 67
1 1 11
47 52 33
4 6 23
1 6 26
7 14 2
4 3 67
13 68 1
1 7 33
4 1 26
38 5 12
9 3 14
18 80 67
4 6 2
2 10 33
8 91 56
13 8 24
1 5 25
13 26 24
10 5 41
10 42 33
65 14 55
