100 0.9792819999999999
1 13 62
15 1 20
1 43 59
1 43 62
40 53 2
18 4 1
4 12 11
2 5 7
1 57 23
2 2 56
17 2 12
6 53 15
7 1 56
53 40 36
7 1 13
32 8 38
7 1 13
3 17 13
3 1 13
1 13 38
17 6 6
17 8 16
32 35 38
2 35 56
32 27 45
17 6 4
33 2 13
1 13 24
19 5 7
32 8 41
3 8 26
4 1 38
4 12 27
9 11 56
43 2 11
1 4 15
3 12 2
14 8 26
43 3 2
8 31 38
23 3 62
32 5 15
2 1 38
53 40 26
16 1 20
41 1 18
4 57 18
7 2 13
32 27 11
2 26 37
25 4 1
43 2 35
3 12 11
43 57 1
43 1 35
1 4 15
2 1 56
40 53 11
43 1 2
1 57 20
9 1 56
1 43 8
43 57 1
26 1 56
2 30 25
1 17 13
43 2 1
43 4 2
17 8 2
4 1 38
4 57 5
57 39 11
10 1 20
33 2 13
43 40 59
17 6 2
43 57 35
2 4 15
4 10 38
43 28 38
43 11 62
43 6 35
43 3 11
1 57 3
43 57 25
1 43 3
43 2 62
43 1 2
8 14 38
3 4 13
1 43 30
43 3 1
32 3 15
2 4 15
7 2 56
2 23 13
30 3 62
43 57 1
5 43 38
57 39 51
12 43 38
43 4 62
1 6 13
9 20 56
57 18 62
43 43 6
7 43 38
