100 0.934705
81 26 37
4 10 17
48 51 56
81 2 37
3 19 5
53 38 3
1 21 9
1 4 44
34 42 16
10 1 14
53 38 2
1 8 44
48 3 7
53 2 3
34 36 15
35 42 31
81 1 37
44 25 3
1 21 1
5 10 27
1 21 27
1 10 17
1 6 44
1 10 44
2 58 44
10 1 7
9 1 30
39 10 1
41 4 7
46 40 3
81 4 35
1 26 44
53 2 5
37 40 8
1 1 3
1 10 44
3 19 4
42 60 11
2 4 7
37 60 12
29 4 1
81 2 22
1 19 9
5 40 14
90 4 30
40 11 1
90 4 14
48 9 49
7 19 44
2 3 1
42 60 33
2 4 1
90 42 12
5 40 12
90 14 44
81 2 13
41 1 1
1 42 31
48 1 7
5 4 7
81 3 35
1 21 34
8 1 1
1 1 27
10 19 30
1 2 44
1 21 44
8 6 1
52 3 1
53 38 3
5 19 14
5 37 1
6 1 7
10 40 42
90 40 4
90 42 1
52 1 1
5 19 5
44 15 3
1 9 44
7 29 44
48 1 7
5 60 12
22 7 1
1 42 31
10 1 30
81 2 35
90 40 34
9 40 37
90 40 14
3 3 1
5 40 1
1 21 17
34 6 15
2 6 1
4 1 7
1 19 9
