100 0.9339860000000002
69 18 31
8 13 15
25 45 2
10 11 15
9 49 5
16 49 3
71 45 11
6 30 41
1 45 21
1 55 48
74 4 26
69 18 17
10 1 52
57 4 7
6 45 12
19 45 1
6 45 1
1 45 19
15 11 15
5 12 1
2 47 38
15 51 47
1 37 28
75 18 52
65 30 41
24 23 1
15 54 2
9 36 1
7 45 10
6 55 38
6 45 1
1 18 20
7 45 4
9 51 14
12 45 1
24 31 1
16 4 1
1 1 18
1 45 52
6 18 48
4 32 15
57 2 52
15 1 2
8 6 5
19 4 1
11 36 1
19 8 1
22 45 2
75 35 52
75 27 48
16 17 1
17 51 47
17 4 5
74 51 1
10 55 1
8 2 52
21 13 15
1 34 2
12 45 1
17 1 5
24 55 4
16 45 1
17 4 2
5 45 19
2 36 1
9 51 33
1 18 8
1 5 18
1 49 18
10 1 34
18 7 1
2 25 1
25 55 47
25 2 15
2 8 38
12 45 12
19 45 18
5 55 38
74 4 15
23 55 2
3 45 2
10 55 1
6 5 1
2 11 1
2 45 52
24 1 1
33 51 47
1 45 31
11 55 38
71 12 41
21 6 15
17 5 5
