100 0.9791980000000001
2 40 5
1 4 8
5 31 3
95 60 1
3 25 11
95 4 1
4 3 47
95 60 3
57 3 1
1 6 17
5 25 73
5 12 13
38 8 3
90 57 1
5 60 3
85 60 1
3 12 8
95 13 5
57 6 1
4 3 8
4 60 1
85 40 81
4 11 6
50 40 5
16 29 2
1 12 8
90 57 3
79 29 8
5 60 1
4 11 2
5 19 20
5 40 2
5 40 3
95 60 62
95 60 21
65 24 1
5 25 1
8 40 79
95 4 1
57 7 2
57 2 2
2 1 81
2 32 81
2 6 2
95 10 2
2 13 1
3 4 8
4 10 8
5 3 1
6 60 1
1 31 1
90 57 1
5 27 11
65 3 1
2 6 15
5 60 5
5 12 7
95 18 1
1 40 8
4 9 47
30 27 1
5 9 41
1 24 1
95 23 1
2 2 81
5 60 14
83 5 4
4 7 14
4 31 1
4 7 33
4 6 47
3 25 6
5 9 48
4 40 3
38 40 5
5 1 1
95 13 1
4 1 47
4 5 47
1 16 3
5 28 1
1 31 47
38 1 3
5 4 11
16 29 6
1 24 2
5 29 11
95 21 1
61 11 8
3 24 1
8 40 2
7 60 4
83 55 4
95 2 1
5 30 75
5 5 75
2 31 17
34 11 8
