100 0.740288
20 11 72
79 46 28
3 10 28
10 13 4
18 52 19
19 1 7
6 1 72
36 3 72
10 1 3
17 7 1
18 43 24
1 4 21
17 1 72
1 5 38
36 27 1
8 2 3
18 1 72
17 21 44
8 1 45
12 1 1
2 14 38
67 32 2
17 36 1
19 1 17
9 1 72
16 43 28
12 22 11
18 44 28
23 1 72
13 4 72
14 1 72
16 1 72
24 43 28
82 13 72
5 5 72
4 20 1
67 32 15
5 43 28
78 32 17
18 2 51
82 5 13
2 18 1
18 2 3
67 32 2
8 1 27
17 43 3
56 1 72
18 38 2
20 3 72
2 48 36
14 38 1
1 39 18
12 22 33
18 38 1
18 52 17
18 2 21
2 18 38
78 15 2
10 1 3
2 43 28
17 43 6
6 11 72
16 24 36
56 1 72
82 27 21
5 22 44
19 1 48
77 5 72
78 4 2
2 18 1
1 29 23
6 1 4
3 28 28
82 5 7
16 24 36
46 27 1
10 13 24
18 4 1
12 1 3
18 2 72
82 32 12
1 39 3
43 4 72
1 14 23
8 13 28
82 5 2
78 7 2
1 32 38
17 43 18
1 27 38
36 43 28
11 32 19
