100 0.9884899999999999
35 21 9
12 7 4
23 54 11
35 1 28
9 4 35
25 21 2
7 41 45
16 54 45
4 12 54
8 25 35
31 54 8
14 1 7
30 28 1
6 14 27
15 33 63
65 40 27
1 1 62
10 6 9
14 1 1
22 33 2
30 4 2
65 46 7
6 14 25
4 1 60
7 13 45
33 29 36
4 13 63
2 46 2
31 21 8
4 54 63
8 25 28
65 46 3
14 1 27
25 50 22
2 14 54
3 33 2
1 8 9
30 46 1
20 33 63
12 7 24
23 7 28
25 3 15
1 1 62
4 54 8
4 46 45
3 1 1
2 3 63
35 54 1
25 54 1
5 30 14
25 1 30
40 54 37
5 21 13
9 14 54
25 54 4
30 1 23
5 46 63
1 1 62
30 42 2
4 1 3
2 3 63
4 5 23
5 46 10
35 46 27
6 14 11
39 46 18
4 21 50
25 3 15
33 17 36
24 21 4
17 6 63
6 1 28
31 21 42
1 6 9
9 21 35
10 8 9
18 6 25
35 10 28
30 8 6
30 8 4
35 46 16
33 54 63
2 54 63
5 25 3
9 25 28
8 1 28
35 46 29
11 21 4
4 12 9
4 15 40
3 54 63
2 46 34
35 36 28
30 38 33
30 18 1
5 25 10
25 50 1
23 54 7
30 7 23
47 6 27
